AAPL_SI,AEP_SI,AMGN_SI,AMZN_SI,BA_SI,BAC_SI,BCH_SI,BHP_SI,BP_SI,BSAC_SI,C_SI,CAT_SI,CHTR_SI,CMCSA_SI,CODI_SI,CSCO_SI,CVX_SI,D_SI,DHR_SI,DIS_SI,DUK_SI,EXC_SI,GD_SI,GE_SI,GOOG_SI,HD_SI,HON_SI,HSBC_SI,IEP_SI,INTC_SI,JNJ_SI,JPM_SI,KO_SI,LMT_SI,MA_SI,MCD_SI,MDT_SI,MMM_SI,MO_SI,MRK_SI,MSFT_SI,NEE_SI,NGG_SI,NVS_SI,ORCL_SI,PCG_SI,PEP_SI,PFE_SI,PG_SI,PM_SI,PPL_SI,REX_SI,SLB_SI,SNY_SI,SO_SI,SRE_SI,T_SI,TSM_SI,UL_SI,UNH_SI,UPS_SI,VZ_SI,WMT_SI,XOM_SI,DATE,DJI_SI,VIX_SI,GSPC_SI,CLF_SI,GCF_SI,TNX_SI
260022000,3384500,7096400,84104000,4923000,243711200,85456,2933769,6883900,555100,41455000,7335200,379900,34687800,219500,52927700,8019100,2023800,3471558,9889900,2247100,9953779,1880800,8921285,114989399,11085800,3839854,1720700,27250,47504000,9243100,36571200,14239200,2242700,22841000,6754700,3647200,3596850,14821800,14374682,80516100,11679600,896031,3055831,45418500,2084300,6042400,31912485,10595400,5589500,6758536,51900,6568800,2943700,3702300,3110600,49271204,7386600,794300,5406400,3698900,28273100,28779900,16130900,2012-01-04,12392.4599609375,23.440000534057617,1277.030029296875,102.98999786376953,1596.5999755859375,1.937000036239624
271269600,4039900,6261500,76182000,6797900,547780000,82195,2111067,5570700,843440,66793300,5555900,571700,44687000,145600,37865300,7184900,2842600,5142691,14327100,4089467,10997428,1677800,9560730,131808205,10245500,3015305,2005100,28260,49490600,11886900,38381400,14287600,2616100,14757000,8163800,5267600,3727214,16748600,21995005,56081400,13628000,978471,2506871,50873400,2546600,4909100,52764821,10085300,5407000,4880825,124500,10803500,4318800,4461100,3073600,45621068,10306100,753800,6330100,5064700,19937700,38304600,17452800,2012-01-05,12418.419921875,22.75,1277.300048828125,103.29000091552734,1610.800048828125,1.9910000562667847
318292800,3215200,4587900,140168000,4779800,299630600,127206,2157813,5976000,302900,48226900,5474100,274100,19228000,342500,27796900,8214900,5577700,3082937,14401600,7059600,7476586,1788100,10656248,108119746,7285500,4017330,1361700,36349,36343500,15359900,33160600,13646600,4274300,20887000,6775300,7972600,3395683,11558000,17530630,99455500,18193600,640925,1207958,55685000,2709100,6533000,31613571,8421200,6745900,4825317,58800,8985900,10796200,4722100,3070000,60348979,7775800,929800,5321700,3177500,22327200,24208200,15942100,2012-01-06,12407.4501953125,21.239999771118164,1280.9300537109375,101.3499984741211,1622.5,2.003000020980835
394024400,6044500,7540500,101138000,4469600,240614400,74040,2551732,3641400,225680,35017900,6536300,341700,39423000,483500,37811500,7118800,2374400,3179051,12145200,6587833,14797549,2064900,9804489,233776981,7346600,2717729,1996600,45154,47478600,7934600,23001800,10522600,1861500,11486000,4433700,5579000,3344734,10310500,14574431,59706800,9357200,667306,2480533,38481100,1682900,5859600,41786041,7836100,4766400,3958557,129600,5622500,3766100,3054000,2155400,35470092,7543100,852600,5079300,3959000,13966500,20037900,11664200,2012-01-09,12359.3095703125,21.670000076293945,1277.8299560546875,101.91999816894531,1614.300048828125,1.975000023841858
258196400,4721000,6150500,79716000,4622400,354292100,50230,3932356,6711600,383760,47710900,9545000,434700,38885200,494700,45488300,7641800,2143400,5211280,14070900,2753267,9133189,2779500,12382927,176483032,7497500,5781808,2529500,41878,41060900,8476600,35972800,12964400,1846700,10252000,5075400,7279200,4112326,10636900,11911778,60014400,7598400,660986,2862986,48976300,1967800,4996000,29227420,10318900,4937000,4889843,149400,8984900,3235000,4814300,2818000,38481001,15501300,1128900,7063200,3803700,14546400,20721900,13080800,2012-01-10,12394.509765625,20.139999389648438,1280.77001953125,101.30000305175781,1619.9000244140625,1.9889999628067017
215084800,3074300,4960000,62054000,3082700,354039600,48599,3721832,6427000,369200,72656000,7226500,362200,23534800,275900,32482200,7802500,1819500,4488343,16257600,3021900,14739506,1282700,9988300,96359832,8222100,3675595,3857200,32458,57170000,6784600,29852900,23428800,1245900,14353000,4622500,3877900,5340499,11707200,12519198,65582400,7078400,376201,3376570,30836000,3349900,10470200,30317467,14676800,5095800,6149775,78600,7503800,3515900,3108400,2139200,31379594,11564800,1442800,4281600,4047500,12331400,19096800,14831400,2012-01-11,12459.51953125,21.18000030517578,1292.02001953125,102.19999694824219,1634.800048828125,1.9509999752044678
212587200,2447000,7191000,107716000,3934500,362099600,57080,5109966,5863200,514280,58233900,10471800,1292200,22122800,200200,31101700,11897200,2048500,4120997,10073400,2655267,11719178,4528500,8129016,75289148,8449900,3144846,4507600,23345,44420500,7402900,39420700,15237000,1822300,13262000,4022700,5483800,4365280,8454400,10407898,49370800,7762400,344691,2619922,31775700,2579500,5745700,28835648,29758100,4698700,6834658,66900,8774900,3155900,3332000,1752400,35100696,12716100,1016300,4550300,2777700,9181400,21709200,17357200,2012-01-12,12449.91015625,21.010000228881836,1292.47998046875,101.0,1645.199951171875,1.9190000295639038
226021600,2717400,5996400,95070000,4641100,337048400,34574,4933409,4711400,513760,65632100,9914300,350100,20122400,210200,32143700,8266900,3012800,3767786,9877700,2489233,13063415,3780300,8771591,92637933,8076200,2581266,2285000,25598,63313400,8978800,61571500,19991800,1475600,12545000,4134800,3982200,3699108,9319400,10141915,60196100,8264400,411834,2729178,31482600,3874500,6677900,30636829,33539100,4916800,3878033,43200,9711900,2660900,3943000,2077400,29256163,9564100,1339000,4995700,5020600,8994900,23187900,15551600,2012-01-13,12469.9599609375,21.40999984741211,1294.8199462890625,99.19999694824219,1638.9000244140625,1.9049999713897705
242897200,4096300,6924800,112890000,3700100,294196500,86109,4593073,5930600,873340,116154600,8864700,454000,23967800,337400,40402800,6925300,2588200,3681343,9142800,2277133,10965042,2438400,10267594,76658261,7709100,3244492,2035500,23140,60438600,8359900,55115100,15577000,1953700,11118000,4555800,4348500,3223100,10454300,17349326,72395300,7612400,793622,2043508,35769400,1644300,7457600,37463376,35728800,6676900,3969186,156900,11758700,4130700,4214400,2318000,31114265,13523900,1442600,6495700,4093200,11718300,25500000,15627900,2012-01-17,12423.1201171875,20.899999618530273,1290.219970703125,98.94999694824219,1643.699951171875,1.899999976158142
276791200,2854500,7159000,149470000,4189500,302497700,84152,3840546,5602700,761280,77552100,6794400,153100,29457200,569500,56573500,6581400,2355100,4123526,9594500,2753233,12150573,1779600,11040854,110882061,13147000,4167954,1852200,11365,62687000,8095600,55502100,13282200,1155900,12440000,4844500,4993700,4450436,10160500,15416709,64860600,7074800,421818,4233992,35343800,2082600,5373300,36335385,10386800,13761200,5153210,104400,13097000,4483000,3607700,2121200,29147860,14004200,802700,8389800,4578400,11464600,17734200,16754200,2012-01-18,12474.6904296875,23.200000762939453,1293.6500244140625,100.91000366210938,1654.0,1.8569999933242798
